stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
VAESP4,,Espaluns,43.136615,6.001403,,,0,,,1,,
VAESPE,,Espaluns,43.137966,6.00273,,,0,,,1,,
VAESPO,,Espaluns,43.137937,6.002665,,,0,,,1,,
VAFAVE,,Favières,43.154938,5.961558,,,0,,,1,,
VAFAVO,,Favières,43.154891,5.961365,,,0,,,1,,
VAFJEN,,"Fontaine Jeanne",43.145138,5.98334,,,0,,,1,,
VAFLUN,,"Frères Lumière",43.135828,5.999264,,,0,,,1,,
VAFLUS,,"Frères Lumière",43.135913,5.999721,,,0,,,1,,
VAFOUN,,Fourches,43.137097,5.99925,,,0,,,1,,
VAFOUS,,Fourches,43.136952,5.999294,,,0,,,1,,
VAGUCO,,"Gueules Cassées",43.148792,6.014209,,,0,,,1,,
VAHSON,,"Hameau du Soleil",43.147685,5.979903,,,0,,,1,,
VAHSOS,,"Hameau du soleil",43.14757,5.979818,,,0,,,1,,
VAHSPE,,"Hameau du soleil",43.146879,5.978194,,,0,,,1,,
VAHSPO,,"Hameau du soleil",43.146642,5.978151,,,0,,,1,,
VAJAUN,,Jaurès,43.136913,5.980808,,,0,,,1,,
VAJAUS,,Jaurès,43.136344,5.981551,,,0,,,1,,
VALECN,,Leclerc,43.136161,5.985244,,,0,,,1,,
VALECS,,Leclerc,43.136046,5.984896,,,0,,,1,,
VALOGN,,"Nouveaux logis",43.131319,5.995485,,,0,,,1,,
VALOGS,,"Nouveaux logis",43.13132,5.995856,,,0,,,1,,
VALPVE,,"Paul Valéry",43.129897,5.990774,,,0,,,1,,
VALPVO,,"Paul Valéry",43.129352,5.989809,,,0,,,1,,
VAMIRE,,Mirasouléou,43.136118,5.979094,,,0,,,1,,
VAMIRO,,Mirasouléou,43.135999,5.978718,,,0,,,1,,
VAMNPE,,Minimes,43.142951,5.979725,,,0,,,1,,
VAMNPO,,Minimes,43.142879,5.979534,,,0,,,1,,
VAMO2E,,"Moulières 2",43.148236,6.016359,,,0,,,1,,
VAMOUN,,Moulières,43.145538,6.01602,,,0,,,1,,
VAORMN,,D'Ormesson,43.136121,5.983677,,,0,,,1,,
VAPALS,,"Palmiers (La Valette)",43.143669,6.015777,,,0,,,1,,
VAPARN,,Partégal,43.142619,6.007202,,,0,,,1,,
VAPARS,,Partégal,43.142533,6.007334,,,0,,,1,,
VAPCOE,,Picasso,43.132298,5.997013,,,0,,,1,,
VAPCOO,,Picasso,43.132665,5.996741,,,0,,,1,,
VAPERN,,Péri,43.138195,5.991516,,,0,,,1,,
VAPERS,,Péri,43.138093,5.990401,,,0,,,1,,
VAPICO,,Picot,43.146828,6.011009,,,0,,,1,,
VAPONE,,Ponant,43.132382,5.987736,,,0,,,1,,
VAPONO,,Ponant,43.132371,5.987642,,,0,,,1,,
VAROBE,,Roberti,43.14257,5.988393,,,0,,,1,,
VAROBO,,Roberti,43.142627,5.988201,,,0,,,1,,
VAROIN,,Roitelet,43.142972,5.992805,,,0,,,1,,
VAROIS,,Roitelet,43.14281,5.993265,,,0,,,1,,
VASCLS,,"Ste Claire",43.135885,6.005365,,,0,,,1,,
VASUPO,,Supière,43.144423,6.008903,,,0,,,1,,
VATHOE,,"Thouar (Coupiane)",43.131143,5.992322,,,0,,,1,,
VATHOO,,"Thouar (Coupiane)",43.131079,5.992159,,,0,,,1,,
VATORE,,Tortel,43.145772,6.00427,,,0,,,1,,
VATORO,,Tortel,43.145339,6.003778,,,0,,,1,,
VAVAGN,,Valgora,43.139238,6.010267,,,0,,,1,,
VAVAGS,,Valgora,43.139008,6.009143,,,0,,,1,,
VAVALS,,Valéry,43.128895,5.989299,,,0,,,1,,
VAVIOE,,"Violettes (La Valette)",43.141279,5.988325,,,0,,,1,,
VAVIOO,,"Violettes (La Valette)",43.141307,5.988107,,,0,,,1,,
